Concept_A	Concept_B	Annotator_1	Annotator_2	Annotator_3	Annotator_4	Annotator_5	Annotator_6	Annotator_7	Annotator_8	Annotator_9	Annotator_10	Annotator_11	Annotator_12	Annotator_13
Quantum_mechanics	Probability	1			1					3				
Natural_language_processing	Speech_recognition	2			3					2				
Kernel_(computing)	Graphical_user_interface	3			3					3				
C++	Computer	1			1					1				
Formal_methods	Software_development	3			1					3				
Automatic_programming	Object-oriented_programming	3			3					3				
Finite-state_machine	Computer_science	1			1					3				
Cache_coherence	Parallel_computing	1			1					1				
Cluster_analysis	Computer_science	1			1					3				
Automated_theorem_proving	Predicate_logic	1			1					3				
Mathematical_proof	Functional_programming	3			3					3				
Scripting_language	Functional_programming	3			3					3				
Robot	Robotics	2			3					2				
Linear_programming	Discrete_mathematics	3			3					3				
Computer_graphics	Algorithm_design	1			1					3				
Inter-process_communication	Message_passing	2			2					2				
Central_processing_unit	Combinational_logic	3			3					3				
NP-complete	Computational_complexity_theory	1			1					1				
Simulation	Molecular_dynamics	2			2					3				
Computer_science	Cryptography	2			2					3				
Molecular_biology	Molecular_evolution	3			2					2				
Parallel_computing	Inter-process_communication	1			2					1				
Graphical_model	Machine_learning	1			1					1				
Algorithm	Model_of_computation	1			2					3				
Markov_chain	Expected_value	1			1					3				
Recursively_enumerable_set	Turing_machine	1			3					3				
Concurrency_control	Mutual_exclusion	2			3					3				
Malware	Email	3			3					3				
Geometry	Graph_theory	3			3					3				
Object-oriented_programming	Imperative_programming	1			3					3				
Graphics	Ray_tracing_(graphics)	2			2					3				
Parallel_computing	Shared_memory	1			1					3				
File_system	Graphical_user_interface	3			3					3				
SQL	Perl	3			3					3				
Machine_learning	Computer_vision	2			3					3				
Very_long_instruction_word	Parallel_computing	1			3					3				
Randomness	Probability	2			2					3				
Parallel_computing	Procedural_programming	3			3					3				
Prolog	C++	3			3					3				
Graph_(mathematics)	Linear_programming	3			3					3				
Matrix_(mathematics)	Linear_system	3			2					3				
Introduction_to_Algorithms	Dynamic_programming	2			2					3				
Cryptanalysis	Public-key_cryptography	2			2					2				
Distributed_computing	Analysis_of_algorithms	1			3					3				
Automata_theory	Programming_language	1			3					3				
Type_system	Compiler	1			2					3				
Poisson_distribution	Statistical_hypothesis_testing	3			3					3				
Finite_difference	Numerical_analysis	1			1					3				
Graphics_processing_unit	Parallel_computing	1			1					3				
Recursion_(computer_science)	Computer_programming	1			1					1				
User_interface	Java_(programming_language)	3			3					3				
Hash_table	Amortized_analysis	3			3					3				
Transaction_processing	Database	1			1					1				
Concurrency_(computer_science)	Computational_complexity_theory	3			3					3				
Theoretical_computer_science	Mathematical_optimization	3			3					3				
Concurrent_computing	Central_processing_unit	3			1					3				
Algorithm	Parallel_computing	2			3					3				
Expert_system	Neural_network	3			3					3				
Assembly_language	Data_structure	3			3					3				
Mathematics	Cryptography	2			2					2				
Mathematical_optimization	Least_squares	1			2					2				
Wireless_sensor_network	Communication	1			1					1				
Formal_methods	Object-oriented_programming	3			3					3				
Simulation	Computer_graphics	3			3					3				
Haskell_(programming_language)	Control_flow	3			1					3				
Simulation	Scientific_visualization	3			3					3				
Scope_(computer_science)	Computer_programming	1			1					1				
Software_engineering	Object-oriented_programming	2			2					3				
Algebra	Computer_science	2			3					3				
Time_complexity	Hash_table	3			3					3				
Combinatorics	Number_theory	3			3					3				
Data_mining	Pattern_recognition	3			1					4				
Computer_programming	Automata_theory	2			3					3				
User_interface	Algorithm	3			3					3				
Artificial_intelligence	Mathematical_optimization	1			3					3				
Linear_system	Eigenvalues_and_eigenvectors	3			3					3				
Machine_learning	Reinforcement_learning	2			2					2				
Algorithm_design	Software_design	3			3					1				
Algorithm	Randomized_algorithm	2			2					2				
Virtual_memory	Processor_register	3			3					3				
Profiling_(computer_programming)	Computer_programming	1			1					3				
Web_server	Kernel_(computing)	3			3					3				
Cryptography	Computer_network	3			3					3				
Formal_language	Computational_complexity_theory	1			3					3				
Parallel_computing	Combinatorics	3			3					3				
Algorithm	Randomness	3			3					3				
Computer_science	Computer_graphics	2			2					2				
Computational_complexity_theory	Foundations_of_mathematics	3			1					1				
Natural_language_processing	Question_answering	2			2					2				
Information_assurance	Information_security	1			3					1				
Mathematical_optimization	Approximation_algorithm	2			2					3				
Web_browser	Computer	1			1					1				
Logic	Recursion	3			3					2				
Microprocessor	Synchronization	3			3					3				
Mathematical_proof	Mathematics	1			1					1				
Cell_(biology)	Computer_science	3			3					3				
Computational_complexity_theory	Computer_science	1			1					1				
Thread_(computer_science)	Object-oriented_programming	3			3					3				
Modular_programming	Functional_programming	3			3					3				
Natural_language_processing	Statistical_inference	1			3					3				
Relational_model	Predicate_logic	1			1					3				
Compiler	Computer_science	1			1					1				
Software_engineering	Revision_control	2			2					2				
CPU_cache	Computer_architecture	1			1					1				
Bioinformatics	Procedural_programming	3			3					3				
Database	Information_security	3			2					3				
Divide_and_conquer_algorithm	Algorithm	1			1					1				
Database	Information_retrieval	3			3					3				
Inference	Machine_learning	2			1					3				
Programming_paradigm	Lisp_(programming_language)	3			2					3				
Object-oriented_programming	Design_pattern_(computer_science)	3			1					1				
Pipeline_(computing)	Digital_electronics	3			3					3				
PSPACE	NP-complete	1			3					3				
Cryptography	Graph_theory	3			3					3				
Data	Statistical_inference	2			1					2				
Computational_complexity_theory	Algorithm_design	1			1					3				
Programming_language	Scope_(computer_science)	2			2					2				
Partial_differential_equation	Recurrence_relation	3			3					3				
Hierarchy	Inheritance_(object-oriented_programming)	2			3					3				
Computational_geometry	Computational_complexity_theory	1			3					3				
Mathematical_optimization	Computational_complexity_theory	3			3					2				
C_(programming_language)	Computing	1			1					3				
Thread_(computer_science)	Multi-core_processor	3			1					3				
Expert_system	Logic_programming	3			3					3				
Data_structure	Computational_complexity_theory	3			3					3				
Mathematics	Discrete_mathematics	2			2					2				
Type_system	C_(programming_language)	3				2	2							
Computability	Computational_complexity_theory	1				2	2							
Exponential_family	Poisson_distribution	1				2	3							
Cryptanalysis	Traffic_analysis	3				3	3							
Computational_complexity_theory	Data_structure	3				2	3							
Context-free_language	Regular_language	3				2	3							
Computer_programming	Data_structure	1				1	1							
Model_checking	Abstraction_(computer_science)	3				1	3							
Algorithm	Polynomial	1				1	3							
Parallel_computing	Central_processing_unit	1				1	1							
Operating_system	Numerical_analysis	3				3	3							
Computer_science	Operating_system	2				2	2							
Analysis_of_algorithms	Computational_problem	3				1	3							
Computational_geometry	Numerical_analysis	3				1	3							
Computer_graphics	Numerical_analysis	3				1	3							
Reason	Computer_science	3				2	3							
String_searching_algorithm	Algorithm	1				1	1							
Formal_language	Parsing	2				2	2							
Algorithm	Software_design	2				2	2							
Mathematics	Mathematical_model	2				2	2							
Calculus	Arithmetic	1				1	3							
Linear_system	Nonlinear_system	2				2	3							
Security	Computer_network	3				1	3							
Operating_system	Software_development	3				2	2							
Object-oriented_programming	Object_(computer_science)	1				1	1							
Application_software	Computer	1				1	1							
Interface_(computing)	Data_structure	3				1	3							
Computer_programming	Computational_science	1				1	3							
String_searching_algorithm	Regular_expression	1				1	3							
Complexity_class	NP-complete	2				2	3							
NP-complete	Propositional_calculus	3				3	3							
Complexity	Mathematics	3				1	1							
Propositional_calculus	Formal_grammar	2				1	3							
Neural_network	Machine_learning	1				1	1							
Introduction_to_Algorithms	NP-complete	3				2	3							
Parsing	Data_structure	1				1	3							
Analysis_of_algorithms	Turing_machine	1				1	3							
Bioinformatics	Graph_theory	1				3	3							
Programming_paradigm	Data_structure	1				1	3							
Cryptography	Encryption	1				2	3							
Data_mining	C++	3				1	3							
Martingale_(probability_theory)	Expected_value	1				1	3							
Monte_Carlo_method	Statistical_inference	1				1	1							
Image_processing	Computer_vision	3				2	2							
Cryptographic_hash_function	Public-key_cryptography	3				2	2							
Database	User_interface	3				3	3							
Algorithm	Recursion	1				2	2							
Optimal_control	Motion_planning	3				2	3							
Assembly_language	Semantics	3				2	3							
Computer_network	File_system	3				1	3							
Object-oriented_programming	Software_framework	3				2	1							
Multiplication	Computational_complexity_theory	2				2	3							
Scripting_language	Java_(programming_language)	3				1	3							
Object-oriented_programming	Hash_table	3				1	3							
Discrete_mathematics	Automata_theory	2				3	3							
Partial_differential_equation	Numerical_analysis	1				1	1							
Computer_architecture	Operating_system	3				2	2							
Computer_graphics	Computational_geometry	3				1	2							
Parametric_polymorphism	Data_type	1				1	1							
Arithmetic	Mathematical_optimization	2				2	2							
Gradient_descent	Dynamic_programming	3				3	3							
Java_(programming_language)	Compiler	3				1	1							
Artificial_intelligence	Machine_translation	2				2	2							
Concurrency_control	Algorithm_design	1				1	3							
Computer_science	Model_of_computation	1				2	2							
Probability	Uncertainty	1				1	1							
C_(programming_language)	Computer_architecture	3				1	3							
Model_checking	Computer_science	1				3	1							
Machine_translation	Artificial_intelligence	1				1	1							
Database	World_Wide_Web	3				2	3							
Parsing	Context-free_language	1				1	1							
Database	Computational_complexity_theory	3				1	3							
Distributed_computing	Computational_problem	1				1	3							
Algorithm	Computational_complexity_theory	1				2	3							
Structured_programming	Communications_protocol	3				2	3							
Random_walk	Computer_science	3				3	1							
Machine_learning	Artificial_intelligence	1				1	1							
Image	Computer_graphics	2				2	2							
Hidden_Markov_model	Machine_learning	1				1	1							
Software_engineering	Machine_learning	3				2	3							
Computer_architecture	CPU_cache	2				2	2							
Discrete_mathematics	Mathematical_proof	1				1	3							
Computer_graphics	Computer_programming	1				1	3							
Mathematical_optimization	Software_engineering	3				3	3							
Large_deviations_theory	Markov_chain	3				3	3							
Network_security	Computer_network	1				1	1							
Randomized_algorithm	Random_variable	1				1	1							
Information_theory	Conditional_probability	1				1	3							
Natural_language_processing	Information_retrieval	3				2	3							
Semantics_of_programming_languages	Programming_language	1				1	1							
Query_language	Graph_(mathematics)	1				3	3							
Machine_learning	Recommender_system	2				2	2							
Rendering_(computer_graphics)	Simulation	1				2	3							
Mathematical_optimization	Computer_science	3				2	3							
Data_structure	Computer_science	1				1	1							
Recursion	Control_flow	1				1	1							
Parametric_polymorphism	Variable_(computer_science)	1				1	3							
C++	Object-oriented_programming	1				2	1							
Software_design	Object-oriented_programming	1				1	3							
Discrete_mathematics	Computer_science	2				2	1							
Randomness	Algorithm	3				2	3							
Authentication	Information_security	2				1	1							
Computer_network	Graphical_user_interface	3				2	3							
Robotics	Combinatorics	3				1	3							
Human-computer_interaction	Usability_testing	1				2	2							
Integer	Algorithm	2				2	3							
Functional_programming	Computer_science	1				1	1							
Object-oriented_programming	Thread_(computer_science)	3				1	3							
Abstract_interpretation	Compiler	3				2	3							
Lisp_(programming_language)	Scope_(computer_science)	3				1	1							
Geometry	Number_theory	3				3	3							
Complexity	Turing_machine	3				1	3							
Algorithm	Linear_algebra	3				1	3							
Algorithm	Control_flow	1				2	3							
Computational_problem	Computer_science	1				1	1							
Parallel_computing	Processor_register	3				1	3							
Gradient_descent	Mathematical_optimization	1				1	1							
Algorithm	Problem_solving	1				1	1							
Functional_programming	Parallel_computing	3				2	3							
Perl	Compiler	3				1	1							
Graph_(mathematics)	Computer_science	1				2	3							
Logic	Algebra	3				2	3							
Parametric_polymorphism	Programming_language	2				1	1							
Pattern_recognition	Probability	1				1	1							
Algorithm_design	Computer_programming	1				2	2							
Inter-process_communication	Computer_network	3				1	3							
Java_(programming_language)	Scope_(computer_science)	3				1	1							
Programming_paradigm	Parallel_computing	3				2	3							
Computational_geometry	Computer	1				1	3							
Prototype	Object-oriented_programming	3				2	1							
Machine_learning	Computer	1				1	3							
Foundations_of_mathematics	Recursion	3				2	3							
Data	Computer_network	2				2	3							
Algorithm	Computational_geometry	2				2	3							
Information_theory	Programming_language	3				3	3							
Computer_network	Data_(computing)	1				1	3							
Algorithm	Dynamic_programming	2				2	2							
Database	SQL	2				2	2							
Communications_protocol	Inter-process_communication	3				1	2							
Turing_machine	Computational_complexity_theory	2				1	3							
Distributed_computing	Number_theory	3				3	3							
High-level_programming_language	Assembly_language	3				1	3							
Game_theory	Number_theory	3				1	3							
Linear_programming	Graph_(mathematics)	3				3	3							
Bioinformatics	Combinatorics	3				3	3							
SQL	Java_(programming_language)	3				3	3							
Python_(programming_language)	Computer	1				1	3							
Recursively_enumerable_set	Algorithm	1				1	3							
Software_testing	Formal_verification	2				1	2							
Artificial_intelligence	Lisp_(programming_language)	3				2	3							
Partial_differential_equation	Nonlinear_system	2				1	3							
Algorithm_design	Programming_language	1				2	3							
String_(computer_science)	Finite-state_machine	3				1	3							
Database	Online_analytical_processing	2				2	3							
Correlation_and_dependence	Statistical_hypothesis_testing	2				2	2							
JavaScript	Software_design	3				1	3							
Abstract_interpretation	C_(programming_language)	3				2	3							
C_(programming_language)	Computer_programming	1				1	1							
Stochastic_process	Randomness	1				1	1							
Probability	Machine_learning	2				2	2							
Internet	Internet_Protocol_Suite	2				2	2							
String_(computer_science)	Dynamic_memory_allocation	3				1	3							
Object-oriented_programming	Python_(programming_language)	3				2	2							
Randomized_algorithm	Randomization	1				1	1							
Query_optimization	Relational_model	3				1	3							
Software_engineering	Distributed_computing	3				2	3							
Database	Computer_network	3				1	3							
Graph_(mathematics)	Algorithm	3				2	3							
Software_engineering	Finite-state_machine	3				1	3							
Software_engineering	Configuration_management	3				2	3							
Analysis_of_algorithms	Combinatorics	1				1	3							
Statistics	Combinatorics	3				1	3							
Randomization	Randomized_algorithm	2				2	2							
Database	Query_language	2				2	2							
Dimension	Integer	3				1	3							
Java_(programming_language)	Data_structure	1				1	3							
Formal_verification	Discrete_mathematics	1				3	3							
Software_engineering	Data_structure	1				1	3							
Cryptography	Information_theory	3				1	3							
Higher-order_function	Object-oriented_programming	3				2	3							
Parallel_algorithm	Algorithm	1				1	1							
Interaction_design	User_interface	1				1	1							
Algorithm_design	Combinatorics	3				1	3							
Network_security	Malware	1				2	2							
Parsing	Computational_geometry	3				3	3							
Computational_complexity_theory	P_versus_NP_problem	2				2	2							
Mathematics	Mathematical_proof	2				2	2							
Database_management_system	Distributed_database	2				2	3							
Database	Email	3				2	3							
Statistics	Fourier_analysis	3				2	3							
Rendering_(computer_graphics)	Interactivity	3				1	3							
Computer_software	Operating_system	3				1	1							
Packet_switching	Computer_network	1				1	1							
Routing	Computer	1				1	3							
Computer_architecture	Finite-state_machine	3				3	3							
Eigenvalues_and_eigenvectors	Iterative_method	3				2	2							
Imperative_programming	Python_(programming_language)	2				2	2							
Mathematical_optimization	Interpolation	1				2	3							
Turing_machine	Halting_problem	1				2	2							
Operating_system	Computer_multitasking	2				2	3							
Rendering_(computer_graphics)	Shading	1				1	2							
Data_type	String_(computer_science)	2				2	2							
Computer_programming	Cryptography	2				2	3							
Authentication	Cryptography	3				2	3							
Prediction	Statistical_inference	3				1	3							
Operating_system	Computing	1				1	1							
Probability_theory	Combinatorics	3				1	3							
Lazy_evaluation	Programming_language	1				1	3							
Programming_language	Computability	1				1	3							
Artificial_intelligence	Reason	1				1	3							
Database	Database_system	3				2	2							
Functional_programming	Automata_theory	3				1	3							
Heuristic	Algorithm	3				2	3							
Autonomous_robot	Robot	1				2	1							
Arithmetic	Computer	2				2	3							
Numerical_analysis	Mathematics	1				1	1							
Internet	Cryptography	3				2	3							
Speech_recognition	Computer_science	1				1	1							
Program_analysis	Computer_science	1				1	1							
Probability	Physics	3				1	3							
Computer_network	Congestion_control	2				2	2							
Computer_animation	Image	1				1	1							
Randomized_algorithm	Computational_complexity_theory	1				1	3							
Sparse_matrix	Matrix_(mathematics)	1				1	1							
Randomized_algorithm	NP-complete	3				3	3							
Sentiment_analysis	Document_classification	1				1	3							
Computational_complexity_theory	Knowledge_representation_and_reasoning	3				3	3							
Computer_architecture	Memory_hierarchy	2				2	2							
Image_processing	Computer_programming	1				1	3							
Relational_database	Graph_theory	3				3	3							
Multi-core_processor	Instruction_set	3				1	3							
Combinatorics	Algorithm	3				2	3							
Computational_complexity_theory	Machine_learning	2				2	3							
Computability	String_(computer_science)	3				2	3							
Computing	Input/output	3				2	3							
Programming_language	Abstraction_(computer_science)	3				1	3							
Run_time_(program_lifecycle_phase)	Compiler	3				2	3							
Functional_programming	Mathematical_proof	3				1	3							
Computational_complexity_theory	NP-complete	2				2	2							
Computer_vision	Computer_programming	1				1	3							
Big_data	Computer_science	1				1	1							
3D_computer_graphics	Image_processing	3				1	1							
Mathematics	Probability	2				2	2							
Database_management_system	Database	3				1	1							
Algebra	Arithmetic	1				1	2							
Methodology	Algorithm	3				2	3							
Relational_database_management_system	Query_language	1				2	3							
Combinatorics	Parallel_computing	3				3	3							
Algorithm	Cluster_analysis	2				2	3							
Type_theory	Structural_induction	3				3	3							
NP-hard	Approximation_algorithm	2				2	3							
Machine_learning	Sentiment_analysis	2				2	2							
Calculus	Propositional_calculus	3				2	2							
Algorithm	Machine_translation	2				2	3							
Type_theory	Data_type	1				2	2							
Operating_system	Communications_protocol	3				2	3							
SQL	Data	2				1	3							
User_interface_design	Computer	1				1	3							
Computer	Personal_computer	2				2	2							
Central_processing_unit	Computer	1				1	2							
Numerical_analysis	Computer_science	3				1	3							
System_call	Operating_system	1				1	1							
Queueing_theory	Markov_chain	3				1	3							
Computation	Halting_problem	2				2	2							
Interface_(computing)	Object-oriented_programming	3				1	3							
Computer_vision	Robotics	3				2	3							
Graph_theory	Computational_chemistry	3				3	3							
NP_(complexity)	Turing_machine	1				1	3							
Natural_language	Machine_learning	3				3	3							
System_programming	C_(programming_language)	3				2	1							
Computer	High-level_programming_language	2				2	3							
Monte_Carlo_method	Markov_chain	3				1	3							
Cryptography	Computer_security	3				1	1							
Decision_theory	Statistical_inference	1				1	3							
Microcode	Finite-state_machine	3				3	3							
Assembly_language	Concurrent_computing	3				2	3							
Computer_architecture	Parallel_computing	3				2	3							
Computer_science	Structural_induction	3				2	2							
Virtual_reality	Compiler	3				1	3							
Software_engineering	Application_software	1				2	2							
Artificial_intelligence	Syntax	3				1	3							
Open_source	Operating_system	3				1	3							
Discrete_mathematics	Mathematical_optimization	2				1	3							
Cryptanalysis	Mathematics	1				1	3							
Interaction_design	Software_engineering	3				1	3							
Computational_chemistry	Computer_programming	1				1	3							
Combinatorics	Computer_science	3				2	1							
Computer_programming	C++	2				2	2							
Analysis_of_algorithms	Computational_complexity_theory	1				2	1							
Calculus	Mathematical_proof	3				1	3							
Data_structure	Software_engineering	2				2	3							
Data_structure	Database	2				2	3							
Information_theory	Algorithm_design	3				1	3							
Computer	Computer_multitasking	2				2	2							
Graph_theory	Randomized_algorithm	3				1	3							
Divide_and_conquer_algorithm	Recursion	1				1	3							
String_searching_algorithm	Introduction_to_Algorithms	1				1	3							
Algorithm	Halting_problem	2				1	3							
MATLAB	Programming_language	1				1	1							
Bioinformatics	Logic_programming	3				1	3							
Computer_science	Discrete_mathematics	1				1	3							
Modular_programming	Object-oriented_programming	3				2	3							
Interface_(computing)	String_(computer_science)	3				3	3							
Graph_(mathematics)	Graph_theory	2				3	2							
Prolog	Operating_system	3				1	3							
Vector_processor	Computer_architecture	1				2	3							
OSI_model	Computer_network	1				1	1							
Context-free_language	Turing_machine	3				1	3							
Data_structure	Floating_point	3				1	3							
Sentiment_analysis	Natural_language_processing	1				1	1							
Cryptography	Automata_theory	3				1	3							
Scripting_language	Computer_programming	1				1	1							
Recursion	Algorithm	1				2	1							
Symmetric_multiprocessing	Computer_programming	1				2	3							
Mathematics	Statistical_hypothesis_testing	2				2	3							
Artificial_intelligence	Cryptography	3				3	3							
Parsing	Python_(programming_language)	3				2	3							
Pushdown_automaton	Computability	1				1	3							
Random_walk	Expected_value	1				1	3							
Formal_language	Discrete_mathematics	1				1	3							
Abstraction_(computer_science)	Hash_table	3				2	3							
Functional_programming	C++	3				1	3							
Mathematical_model	Linear_programming	3				2	3							
Shortest_path_problem	Linear_programming	3				1	3							
Programming_language	Semantics_of_programming_languages	2				2	2							
Halting_problem	Theory_of_computation	1				1	3							
OSI_model	Prolog	3				2	3							
Computational_complexity_theory	Number_theory	3				1	3							
Time_complexity	NP_(complexity)	2				2	2							
Imperative_programming	Object-oriented_programming	2				2	3							
Statistics	Reinforcement_learning	2				2	3							
Context-free_grammar	Dynamic_programming	3				2	3							
Coding_theory	Computer_science	3				1	1							
Recurrence_relation	Mathematics	1				1	3							
Computer_science	Theory_of_computation	2				1	2							
Application_software	Computer_network	3				1	3							
Numerical_analysis	Numerical_integration	2				2	3							
Calculus	Algebra	1				1	1							
Database_design	Data_structure	1				1	3							
Monte_Carlo_method	Expected_value	1				1	3							
Operating_system	Imperative_programming	3				2	3							
Algorithm	Computer	3				1	3							
List_of_undecidable_problems	Halting_problem	2				2	3							
Procedural_programming	Processor_register	3				1	3							
Polymorphism_(computer_science)	Programming_language	1				1	1							
Parallel_computing	Graphics_processing_unit	2				2	3							
Scheduling_(computing)	Operating_system	1				1	1							
Computer	Imperative_programming	2				2	3							
Database_design	Relational_model	1				1	2							
Input/output	C_(programming_language)	3				2	3							
Embedded_system	Microprocessor	1				1	1							
Discrete_mathematics	Combinatorics	2				1	2							
Object_(computer_science)	Operating_system	3				2	3							
Least_squares	Numerical_analysis	3				1	1							
Computer_vision	Knowledge_representation_and_reasoning	3				3	3							
Cryptography	Digital_signature	2				1	2							
Data_structure	Computational_chemistry	3				2	3							
Asymptotic_analysis	Computer_science	3				3	3							
Computability	Discrete_mathematics	3				1	3							
Internet	Packet_switching	1				2	2							
Functional_programming	Computability	3				1	3							
Recursion	Computer_programming	3				2	3							
Communication	Programming_language	3				2	3							
Cloud_computing	Parallel_computing	3				1	3							
Computational_complexity_theory	Computability	1				1	3							
Geometry	Combinatorics	3				2	3							
Computer_network	Personal_computer	1				2	3							
Integrated_circuit	Multi-core_processor	3				2	2							
Computer_science	Data_structure	2				2	2							
Programming_paradigm	C_(programming_language)	3				2	3							
Programming_language	Assembly_language	2				1	2							
Sparse_matrix	Computer	3				1	3							
Discrete_mathematics	Mathematics	1				1	1							
Computer_architecture	Combinational_logic	3				3	3							
Exponential_family	Random_variable	1				1	1							
Hidden_Markov_model	Artificial_intelligence	1				3	1							
Time_complexity	Amortized_analysis	2				2	2							
Internet	Java_(programming_language)	3				2	3							
Central_processing_unit	Vector_processor	2				2	2							
Statistics	Pattern_recognition	2				2	2							
Data_(computing)	Programming_language	3				2	3							
Compiler	Java_(programming_language)	3				2	3							
Programming_paradigm	Computational_science	1				1	1							
Synchronization	Parallel_computing	3				2	3							
Numerical_analysis	Molecular_dynamics	3				3	3							
Programming_language	Linked_list	3				2	3							
Software_design	Programming_language	1				1	3							
Computational_geometry	Computational_science	1				1	1							
Computer_network	Computer	1				1	1							
Web_search_engine	Algorithm	1				1	3							
Linear_algebra	Polynomial	1				1	3							
Programming_language	Functional_programming	2				2	2							
Algebra	Mathematical_proof	2				1	3							
Random_walk	Graph_(mathematics)	1				1	1							
Dynamic_programming	Programming_language	3				1	3							
Matrix_(mathematics)	Floating_point	3				3	3							
Computer_security	Arithmetic_logic_unit	3				1	3							
Control_flow	Object-oriented_programming	3				2	3							
Expert_system	Combinatorics	3				1	3							
Model_of_computation	Turing_machine	2				1	2							
Statistics	Markov_process	2				2	2							
Exponential_family	Statistical_hypothesis_testing	3				3	3							
Simulation	Theoretical_computer_science	3				3	3							
Firewall_(computing)	Malware	3				1	3							
Theoretical_computer_science	Computational_problem	2				1	3							
Computer_science	NP-complete	2				2	3							
Dimension	Mathematics	1				2	3							
Finite-state_machine	Pushdown_automaton	2				2	3							
Ray_tracing_(graphics)	Computer_graphics	1				1	1							
Firewall_(computing)	Data	1				1	3							
Computer_vision	Graph_theory	3				1	3							
Algorithm	Discrete_mathematics	1				1	3							
3D_computer_graphics	Computer_vision	3				3	1							
Linear_programming	Algorithm	3				1	1							
Compiler	Software_engineering	3				2	3							
User_interface	Programming_language	3				1	3							
Transaction_processing	Database_normalization	3				3	3							
Programming_paradigm	Cryptography	3				3	3							
Sentiment_analysis	Question_answering	3				3	3							
Randomized_algorithm	Conditional_probability	1				1	3							
Computer_security	Authentication	1				2	3							
Mathematica	Graph_theory	3				2	3							
Divide_and_conquer_algorithm	Debugging	3				3	3							
Concurrency_control	Analysis_of_algorithms	1				1	3							
Imperative_programming	Control_flow	2				1	1							
Scripting_language	Operating_system	3				1	3							
Partial_differential_equation	Finite_difference	3				1	3							
Programming_paradigm	Procedural_programming	2				2	2							
Kernel_(computing)	Operating_system	1				1	2							
Computational_complexity_theory	Software_engineering	2				2	3							
Computer	Arithmetic	1				1	3							
Automatic_programming	High-level_programming_language	1				2	3							
Computer_programming	Python_(programming_language)	2				2	2							
Combinatorics	Operating_system	3				2	3							
Sufficient_statistic	Data	1				1	3							
Linear_algebra	Computer_science	3				2	3							
Data_mining	Object-oriented_programming	3				1	3							
Peer-to-peer	Privacy	3				1	3							
Unsupervised_learning	Machine_learning	1				1	1							
Parsing	Regular_expression	1				2	3							
SQL	Python_(programming_language)	3				2	3							
Java_(programming_language)	Control_flow	3				1	3							
Abstraction_(computer_science)	Object-oriented_programming	3				2	3							
Prototype	Programming_language	3				2	3							
Mathematics	Artificial_intelligence	2				2	3							
Integer	Computer	2				2	3							
Virtual_memory	Central_processing_unit	3				1	3							
String_(computer_science)	C++	3				2	3							
MATLAB	Python_(programming_language)	3				3	3							
Thread_(computer_science)	Concurrency_(computer_science)	2				2	1							
Java_(programming_language)	User_interface	3				1	3							
Concurrency_control	Graph_theory	3				3	3							
Computer_architecture	Computer_multitasking	3				2	3							
Parsing	Algorithm	1				1	3							
Personal_computer	Operating_system	3				1	3							
Object-oriented_programming	Programming_language	1				1	1							
Genetics	Molecular_evolution	2				2	3							
Correlation_and_dependence	Data	1				1	1							
SIMD	Distributed_computing	3				2	3							
Computer_vision	Numerical_analysis	3				1	3							
Mathematics	Combinatorics	2				2	2							
ML_(programming_language)	Programming_language	1				1	1							
Programming_language	Automata_theory	1				1	3							
Prolog	Compiler	3				1	3							
Hash_table	Data_(computing)	1				1	3							
Distributed_algorithms	Algorithm	1				1	1							
Mathematical_optimization	Artificial_intelligence	2				2	3							
Firewall_(computing)	Network_security	1				1	1							
Probability	Automata_theory	3				2	3							
Finite-state_machine	Theory_of_computation	1				1	1							
Mathematical_optimization	Graph_theory	3				3	3							
Social_network	Computer_network	3				3	3							
Natural_language_processing	Knowledge_representation_and_reasoning	3				2	3							
Geometry	Computer_graphics	2				2	3							
Static_program_analysis	Abstraction_(computer_science)	3				1	3							
Physics	Randomness	3				2	3							
Data_model	Algorithm	3				2	3							
Synchronization	Microprocessor	3				1	3							
Computer_science	Analysis_of_algorithms	2				2	2							
Kalman_filter	Prediction	3				1	3							
Concurrent_computing	Parallel_computing	3				2	3							
Analysis_of_algorithms	Computational_science	1				1	1							
Semidefinite_programming	Approximation_algorithm	1				1	3							
Statistics	Machine_learning	2				2	2							
Unix	Operating_system	1				1	1							
Social_network	Combinatorial_optimization	3				1	3							
Abstraction_(computer_science)	Generic_programming	3				2	2							
Sequence_alignment	String_searching_algorithm	3				2	3							
Database_design	Database	1				1	1							
Virtual_memory	Computer_network	3				2	3							
Graph_(mathematics)	First-order_logic	3				3	3							
High-level_programming_language	Computer_science	1				1	1							
Database_design	Database_system	1				1	2							
Computer_network	World_Wide_Web	2				2	2							
Informatics_(academic_field)	Computer_science	2				1	2							
Semantics	Parsing	3				1	2							
Discretization	Recurrence_relation	3				3	3							
Computational_geometry	Concurrency_(computer_science)	3				3	3							
Data_structure	Amortized_analysis	2				2	3							
Programming_language	Parsing	2				1	3							
Graph_theory	Parallel_computing	3						3				3		
Data_mining	Logic_programming	3						3				3		
Scripting_language	Procedural_programming	3						3				1		
Data	Data_structure	2						2				2		
Software_testing	Object-oriented_programming	1						3				3		
Computational_complexity_theory	Theoretical_computer_science	1						1				2		
Syntax	Artificial_intelligence	3						3				2		
Mathematics	Library	3						3				3		
Superscalar	Multi-core_processor	3						1				1		
